long_name,short_name,area,state,contact,email,url,phone,address
Broome County Department of Public Transportation,Broome County,Vestal,NY,Ms. Barbara Fiala (Broome County Executive),dewing@co.broome.ny.us,http://www.gobroomecounty.com/transit/,(607)763-4464,"413 Old Mill Road, Vestal, NY 13850"
Suffolk County Department of Public Works - Transportation Division,ST,Yaphank,NY,"Mr. Robert Shinnick (Director, Transportation Operations)",robert.shinnick@co.suffolk.ny.us,http://www.sct-bus.org/,(631)852-4880,"Rudolph M. Kammerer Building 335 Yaphank Avenue, Yaphank, NY 11980"
"Trans-Bridge Lines, Inc.",,Bethlehem,PA,Mr. Thomas JeBran (President),tbl@fast.net,http://www.transbridgelines.com/,(610)868-6001 Ext:122,"2012 Industrial Drive, Bethlehem, PA 18017"
Washington Metropolitan Area Transit Authority,WMATA,Washington,DC,Mr. John Catoe (General Manager),jbcatoe@WMATA.com,http://www.wmata.com/,(202)962-1000,"600 Fifth Street, N.W., Washington, DC 20001"
Delaware Transit Corporation,DTC,Dover,DE,Mr. Stephen Kingsberry (Executive Director),stephen.kingsberry@state.de.us,http://www.dartfirststate.com/,(302)760-2831,"900 Public Safety Boulevard, Dover, DE 19901"
Harford Transit,HT,Abingdon,MD,"Mr. Michael Hannan (Manager, Harford Transit)",mthannan@harfordcountymd.gov,http://www.harfordcountymd.gov/services/transportation/,(410)612-1742,"1311 Abingdon Road, Abingdon, MD 21009"
Annapolis Department of Transportation,Annapolis Transit,Annapolis,MD,Ms. Danielle Matland (Director),matlandd@annapolis.gov,http://www.annapolis.gov/,(410)263-7964 Ext:6013,"308 Chinquapin Round Road, Annapolis, MD 21401"
Maryland Transit Administration,MTA,Baltimore,MD,Mr. Paul Wiedefeld (Administrator),pwiedefeld@mtamaryland.com,http://www.mtamaryland.com/,(410)767-3943,"6 St. Paul Street, Baltimore, MD 21202"
Allegany County Transit,ACT,Cumberland,MD,"Mr. James Stafford, Jr. (Transit Chief)",jstafford@allconet.org,http://gov.allconet.org/ACT,(301)722-6360,"1000 Lafayette Avenue, Cumberland, MD 21502"
Howard Transit,HT,Ellicott City,MD,Mr. Ben Pickar (Chief Transportation Planning),bpickar@howardcountymd.gov,http://www.howardtransit.com/,(410)313-4360,"3430 Courthouse Drive, Ellicott City, MD 20707"
Transit Services of Frederick County,,Frederick,MD,Ms. Sherry Burford (Division Director),SBurford@FrederickCountyMD.gov,http://www.frederickcountymd.gov/transit,(301)600-2065,"1040 Rocky Springs Road, Frederick, MD 21702"
Washington County Transit,County Commuter,Hagerstown,MD,Mr. Kevin Cerrone (Director),kcerrone@washco-md.net,http://www.washco-md.net/,(240)313-2750,"1000 West Washington Street, Hagerstown, MD 21740"
Prince George's County Transit,TheBus,Largo,MD,Mr. James Gordon (Acting Deputy Director),JRGordon@co.pg.md.us,http://www.princegeorgescountymd.gov/,(301)883-5600,"9400 Peppercorn Place Suite #320, Largo, MD 20774"
"County Commissioners of Charles County, MD",DCS VanGO,Port Tobacco,MD,Mr. Jeffry Barnett (Chief of Transportation),BarnettJ@charlescounty.org,http://www.go-vango.com/,(301)934-0102,"8190 Port Tobacco Road, Port Tobacco, MD 20677"
Ride-On Montgomery County Transit,,Rockville,MD,Ms. Carolyn Biggins (CEO/Chief-Division of Transit Services),Carolyn.Biggins@montgomerycountymd.gov,http://www.montgomerycountymd.gov/,(240)777-5806,"101 Monroe Street 5th Floor, Rockville, MD 20850"
The Tri--County Council for the Lower Eastern Shore of Maryland,Shore Transit,Snow Hill,MD,Mr. Michael Pennington (Executive Director ),mike@lowershore.org,http://www.shoretransit.org/,410-632-4700,"101 West Green Street, Snow Hill , MD 21863"
Carroll County Planning Department,CATS,Westminster,MD,Mr. Steven Horn (CEO Planning Director),shorn@ccg.carr.org,http://www.carrolltransit.org/,(410)386-2145,"225 North Center Street, Westminster, MD 21157"
Lehigh and Northampton Transportation Authority,LANTA,Allentown,PA,Mr. Armando Greco (Executive Director),agreco@lantabus.com,http://www.lantabus.com/,(610)435-4052,"1060 Lehigh Street, Allentown, PA 18103"
Altoona Metro Transit,AMTRAN,Altoona,PA,Mr. Eric Wolf (General Manager),EricWolf@Amtran.Org,http://www.amtran.org/,(814)944-4074,"3301 Fifth Avenue, Altoona, PA 16602"
Mid Mon Valley Transit Authority,MMVTA,Charleroi,PA,Mrs. Valerie Kissell (Executive Director),vkissell@mmvta.com,http://www.mmvta.com/,(724)489-0880,"1300 McKean Avenue, Charleroi, PA 15022"
Erie Metropolitan Transit Authority,EMTA,Erie,PA,Mr. Dennis Solensky (Executive Director),dsolensky@emtaerie.com,http://www.emtaerie.com/,(814)459-4287,"127 East 14th Street, Erie, PA 16512"
Westmoreland County Transit Authority,WCTA,Greensburg,PA,Mr. Larry Morris (Executive Director),lmorris@westmorelandtransit.com,http://www.westmorelandtransit.com/,(724)832-2705,"41 Bell Way, Greensburg, PA 15601"
Capital Area Transit,CAT,Harrisburg,PA,Mr. James Hoffer (Executive Director),jhoffer@cattranist.com,http://www.cattransit.com/,(717)233-5657,"901 North Cameron Street, Harrisburg, PA 17105"
Pennsylvania Department of Transportation,PENNDOT,Harrisburg,PA,"Mr. Robert Sharp (Chief, Rural & Intercity Transportation Division)",rosharp@state.pa.us,http://www.dot.state.pa.us/,(717)783-9461,"Harrisburg, PA 17105"
Shenango Valley Shuttle Service,SVSS,Hermitage,PA,Mr. Thomas Tulip (Administrator),TTulip@mcrcog.com,http://www.mcrcog.com/,(724)981-1561,"2495 Highland Road, Hermitage, PA 16148"
Cambria County Transit Authority,CamTran,Johnstown,PA,Ms. Rose Lucey-Noll (Executive Director),rlnoll@camtranbus.com,http://www.camtranbus.com/,(814)535-5526 Ext:202,"726 Central Avenue, Johnstown, PA 15902"
Luzerne County Transportation Authority,LCTA,Kingston,PA,Mr. Stanley Strelish (Executive Director),sstrelish@epix.net,http://www.lctabus.com/,(570)288-9356 Ext:206,"315 Northampton Street, Kingston, PA 18704"
Red Rose Transit Authority,RRTA,Lancaster,PA,Mr. David Kilmer (Executive Director),dkilmer@redrosetransit.com,http://www.redrosetransit.com/,(717)397-5613,"45 Erick Road, Lancaster, PA 17601"
County of Lebanon Transit Authority,COLT,Lebanon,PA,Ms. Theresa Giurintano (Executive Director),tgiurintano@coltbus.org,http://www.coltbus.org/,717-274-3664 Ext:311,"200 Willow Street, Lebanon, PA 17046"
Fayette Area Coordinated Transportation,FACT,Lemont Furnace,PA,Mrs. Lori Groover-Smith (Acting Director),lgsmith@hs.fayette.org,http://www.factbus.com/,(724)628-7485,"825 Airport Road, Lemont Furnace, PA 15456"
Southeastern Pennsylvania Transportation Authority,SEPTA,Philadelphia,PA,Mr. Joseph Casey (General Manager),jcasey@septa.org,http://www.septa.org/,(215)580-7070,"1234 Market Street, Philadelphia, PA 19107"
Access Transportation Systems,ACCESS,Pittsburgh,PA,Ms. Karen Hoesch (Executive Director),khoesch@accesstransys.com,http://www.portauthority.org/PAAC/CustomerInfo/ACCESS/tabid/121/Default.aspx,(412)562-5380 Ext:3001,"Centre City Tower 440 650 Smithfield Street, Pittsburgh, PA 15222"
Port Authority of Allegheny County,Port Authority,Pittsburgh,PA,Mr. Stephen Bland (Chief Executive Officer),sbland@portauthority.org,http://www.portauthority.org/,(412)566-5311,"345 Sixth Avenue 3rd Floor, Pittsburgh, PA 15222"
Southwestern Pennsylvania Commission,SPC,Pittsburgh,PA,Dr. James Hassinger (Executive Director),jhassinger@spcregion.org,http://www.spcregion.org/,(412)391-5590 Ext:321,"425 Sixth Avenue Suite 2500, Pittsburgh, PA 15219"
Berks Area Reading Transportation Authority,BARTA,Reading,PA,Mr. Dennis Louwerse (Executive Director),dlouwerse@bartabus.com,http://www.bartabus.com/,(610)921-0605 Ext:201,"1700 North 11th Street, Reading, PA 19604"
Beaver County Transit Authority,BCTA,Rochester,PA,Ms. Mary Morandini (General Manager),maryjom@bcta.com,http://www.bcta.com/,(724)728-4255,"200 West Washington Street, Rochester, PA 15074"
County of Lackawanna Transit System,COLTS,Scranton,PA,Mr. Robert Fiume (Executive Director),fiumer@lackawannacounty.org,http://www.coltsbus.com/,(570)346-2061 Ext:1263,"North South Road, Scranton, PA 18504"
Centre Area Transportation Authority,CATA,State College,PA,Mr. Hugh Mose (General Manager),hmose@catabus.com,http://www.catabus.com/,(814)238-2282 Ext:130,"2081 West Whitehall Road, State College, PA 16801"
"G G and C Bus Company, Inc.",,Washington,PA,Mr. John Lenzner (President),dgood@ggcbus.com,http://www.ggcbusride.com/,(724)222-2320,"2924 Jefferson Avenue, Washington, PA 15301"
Williamsport Bureau of Transportation,RVT,Williamsport,PA,"Mr. William Nichols, Jr. (General Manager)",bnichols@rideRVT.com,http://www.ridervt.com/,(570)326-2500,"1500 West Third Street, Williamsport, PA 17701"
York County Transportation Authority,rabbittransit,York,PA,Mr. Richard Farr (Executive Director),rfarr@rabbittransit.org,http://www.rabbittransit.org/,(717)846-5562,"1230 Roosevelt Avenue, York, PA 17404"
City of Alexandria,DASH,Alexandria,VA,Ms. Laura Triggs (Director of Finance),laura.triggs@alexandriava.gov,http://www.alexandriava.gov/dot,(703)746-3900,"301 King Street, Alexandria, VA 22314"
Virginia Railway Express,VRE,Alexandria,VA,Mr. Dale Zehner (Chief Executive Officer),dzehner@vre.org,http://www.vre.org/,(703)684-1001,"1500 King Street Suite 202, Alexandria, VA 22314"
Arlington Transit - Arlington County,ART,Arlington,VA,Mr. Stephen DelGiudice (Transit Bureau Chief),sdelgiudice@arlingtonva.us,http://www.arlingtontransit.com/,(703)228-0090,"2100 Clarendon Boulevard Suite 900, Arlington, VA 22201"
Blacksburg Transit,BT,Blacksburg,VA,Mr. Marc Verniel (Town Manager),mverniel@blacksburg.gov,http://www.btransit.org/,(540)961-1130,"2800 Commerce Street, Blacksburg, VA 24060"
Charlottesville Transit Service,CTS,Charlottesville,VA,Mr. Bill Watterson (Transit Manager),watterson@charlottesville.org,http://www.charlottesville.org/transit,(434)970-3840 Ext:3849,"315 Fourth Street, N.W., Charlottesville, VA 22902"
City of Danville Mass Transit System,Danville Transit,Danville,VA,Mr. Lyle Lacy (City Manager),cmo@ci.danville.va.us,http://www.danvilletransit.com/,(434)799-5100,"427 Patton Street, Danville, VA 24541"
City of Fairfax CUE Bus,CUE,Fairfax,VA,Mr. Robert Sisson (City Manager),RSisson@fairfaxva.gov,http://www.cuebus.org/,(703)385-7850,"10455 Armstrong Street, Fairfax, VA 22030"
Fairfax Connector Bus System,Fairfax Connector,Fairfax,VA,"Ms. Katharine Ichter, P.E. (Director - Department of Transportation)",judy.carleton@fairfaxcounty.gov,http://www.fairfaxconnector.com/,(703)324-1100,"12055 Government Center Parkway Suite 1034, Fairfax, VA 22035"
Fredericksburg Regional Transit,FRED,Fredericksburg,VA,Mr. Beverly Cameron (City Manager),bcameron@fredericksburgva.gov,http://www.fredericksburgva.gov/,(540)372-1010,"1400 Jefferson Davis Hwy, Fredericksburg, VA 22401"
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",HRT,Hampton,VA,Mr. Michael Townes (Chief Executive Officer),mtownes@hrtransit.org,http://www.gohrt.com/,(757)222-6000,"3400 Victoria Boulevard, Hampton, VA 23661"
City of Harrisonburg Department of Public Transportation,Harrisonburg Transit,Harrisonburg,VA,Mr. Reggie Smith (Director of Public Transportation),reggies@hdpt.com,http://www.hdpt.com/,(540)432-0496,"475 East Washington Street, Harrisonburg, VA 22802"
Loudoun County Commuter Bus Service - Office of Transportation Services,LC Transit,Leesburg,VA,Mrs. Nancy Gourley (Chief Executive Officer),nancy.gourley@loudoun.gov,http://www.loudoun.gov/bus,(703)737-8624,"1 Harrison Street, S.E. MSC#69, Leesburg, VA 20175"
Greater Lynchburg Transit Company,GLTC,Lynchburg,VA,Mr. Michael Carroll (General Manager),michael.carroll@lynchburgva.gov,http://www.gltconline.com/,(434)455-5084,"1301 Kemper Street, Lynchburg, VA 24505"
Petersburg Area Transit,PAT,Petersburg,VA,Mr. B. David Canada (City Manager),ctymgr@earthlink.net,http://www.petersburg-va.org/,(804)733-2301,"309 Fairgrounds Road, Petersburg, VA 23803"
Greater Richmond Transit Company,GRTC Transit System,Richmond,VA,Mr. John Lewis (CEO),jlewis@ridegrtc.com,http://www.ridegrtc.com/,(804)358-3871,"101 South Davis Avenue, Richmond, VA 23220"
Greater Roanoke Transit Company,Valley Metro,Roanoke,VA,Mr. Carl Palmer (General Manager),cpalmer@valleymetro.com,http://valleymetro.com/,(540)982-0305 Ext:111,"1108 Campbell Avenue, S.E., Roanoke, VA 24032"
Williamsburg Area Transport,WAT,Williamsburg,VA,Mr. Mark Rickards (Executive Director),mrickards@james-city.va.us,http://www.williamsburgtransport.com/,(757)220-5493,"7239 Pocahontas Trail, Williamsburg, VA 23185"
Potomac and Rappahannock Transportation Commission,PRTC,Woodbridge,VA,Mr. Alfred Harf (Executive Director),AHarf@Omniride.com,http://www.prtctransit.org/,(703)583-7782,"14700 Potomac Mills Road, Woodbridge, VA 22192"
Kanawha Valley Regional Transportation Authority,KVRTA,Charleston,WV,Mr. Dennis Dawson (General Manager),ddawson@rideonkrt.com,http://www.rideonkrt.com/,(304)343-3840,"1550 4TH AVENUE, Charleston, WV 25324"
The Tri-State Transit Authority,TTA,Huntington,WV,Mr. Paul Davis (CEO),pdavis@tta-wv.com,http://www.tta-wv.com/,(304)529-6094 Ext:222,"1120 Virginia Avenue, West, Huntington, WV 25779"
Monongalia County Urban Transit,Mt. Line Transit,Morgantown,WV,Mrs. Jenny Dinsmore (Board President),wp@busride.org,http://www.busride.org/,(304)296-3680,"420 Dupont Road, Morgantown, WV 26501"
Mid-Ohio Valley Transit Authority,Easy Rider,Parkersburg,WV,Mr. G. Lockhart (General Manager ),movta@live.com,http://www.easyriderbus.com/,(304)422-4100,"520 Juliana Street, Parkersburg, WV 26101"
Ohio Valley Regional Transportation Authority,OVRTA / EORTA,Wheeling,WV,Mr. Thomas Hvizdos (Executive Director),hvizdos@ovrta.org,http://www.ovrta.org/,(304)232-2190,"21 South Huron Street, Wheeling, WV 26003"
Birmingham-Jefferson County Transit Authority,MAX,Birmingham,AL,Mr. David Hill (Executive Director),dhill@bjcta.org,http://www.bjcta.org/,(205)521-0140,"1735 Morris Avenue, Birmingham, AL 35203"
Morgan County Area Transportation System,MCATS,Decatur,AL,"Mr. John Glasscock (Chairman, Morgan County Commission)",jglasscock@co.morgan.al.us,http://www.co.morgan.al.us/,(256)351-4730,"Decatur, AL 35602"
Wiregrass Transit Authority,,Dothan,AL,Mr. Thomas Solomon (Executive Director),tsolomon@searpdc.org,http://www.sanman.net/searpdc/searpdc.htm,(334)794-4093 Ext:1417,"201 Depot St, Dothan, AL 36302"
Gadsden Transportation Services - City of Gadsden,GTS,Gadsden,AL,"Hon. Sherman Guyton (Mayor, City of Gadsden)",sguyton@cityofgadsden.com,http://www.cityofgadsden.com/,(256)549-4646,"90 Broad Street, Gadsden, AL 35902"
"City of Huntsville, Alabama - Public Transportation Division",,Huntsville,AL,"Mr. John Brown, Jr. (Director)",tommy.brown@hsvcity.com,http://www.hsvcity.com/,(256)427-6811,"500 Church Street Suite B, Huntsville, AL 35801"
The Wave Transit System,WTS,Mobile,AL,Mr. Booker Parker (General Manager),tparker@thewavetransit.com,http://www.thewavetransit.com/,(251)375-2350 Ext:0,"1224 West I-65 Service Road South, Mobile, AL 36609"
Montgomery Area Transit System,MATS,Montgomery,AL,Hon. Todd Strange (Mayor),mayor@montgomeryal.gov,http://www.montgomerytransit.com/,(334)241-2000,"2318 West Fairview Avenue, Montgomery, AL 36108"
Northwest Alabama Council of Local Governments,NACOLG,Muscle Shoals,AL,Mr. Keith Jones (Executive Director),kjones@nwscc.cc.al.us,http://www.nacolg.com/,(256)389-0555,"Muscle Shoals, AL 35662"
Lee-Russell Council of Governments,LRCOG,Opelika,AL,Ms. Suzanne Burnette (Executive Director),suzanne.burnette@adss.alabama.gov,http://www.lrcog.com/,(334)749-5264 Ext:206,"2207 Gateway Drive, Opelika, AL 36801"
Tuscaloosa County Parking and Transit Authority,TMT,Tuscaloosa,AL,Mr. Jimmie Cain (CEO and Manager),jcain@uatrolley.org,http://www.uatrolley.org/,(205)556-3876,"2450 Hargrove Road, East, Tuscaloosa, AL 35405"
Polk County Transit Services Division - Polk County Board of County Commissioners,PCTS,Bartow,FL,"Mr. Paul Simmons (Director, Polk County Transit Services)",paulsimmons@polk-county.net,http://www.polk-county.net/,(863)534-5368,"1290 Golfview Avenue Drawer HS09, Bartow, FL 33831"
"Tri-County Community Council, Inc.",TCCC,Bonifay,FL,Mr. Joel Paul (Executive Director),joelpaul.tccc@mchsi.com,,(850)547-3689,"302 North Oklahoma Street, Bonifay, FL 32425"
Manatee County Area Transit,MCAT,Bradenton,FL,Mr. Ralf Heseler (Transit Manager),ralf.heseler@mymanatee.org,http://www.mymanatee.org/,(941)747-8621 Ext:222,"1108 26th Avenue, East, Bradenton, FL 34208"
Hernando County Board of County Commissioners,The Bus,Brooksville,FL,Mr. Ronald Pianta (Planning Director),RPianta@co.hernando.fl.us,http://www.hernandobus.com/,(352)754-4057,"20 North Main Street, Room 262, Brooksville, FL 34601"
Space Coast Area Transit,SCAT,Cocoa,FL,Mr. James Liesenfelt (Transit Director),jim@ridescat.com,http://www.ridescat.com/,(321)635-7815,"401 South Varr Avenue, Cocoa, FL 32922"
Lee County Transit,LeeTran,Fort Myers,FL,Mr. Steven Myers (Transit Director),slmyers@leegov.com,http://www.rideleetran.com/,(239)533-0322,"6035 Landing View Road, Fort Myers, FL 33907"
"Council on Aging of St. Lucie, Inc.",CT,Fort Pierce,FL,Mr. Darrell Drummond (President/Chief Executive Officer),ddrummond@coasl.com,http://www.treasurecoastconnector.com/,(772)345-8215,"1505 Orange Avenue, Fort Pierce, FL 34950"
Okaloosa County Board of County Commissioners,,Fort Walton Beach,FL,Mr. William Roberts (Chairman),broberts@co.okaloosa.fl.us,http://www.okaloosa.fl.us/,(850)651-7105,"600 Transit Way, Fort Walton Beach, FL 32547"
Gainesville Regional Transit System,RTS,Gainesville,FL,Mr. Jesus Gomez (Transit Director),gomezjm@cityofgainesville.org,http://www.go-rts.com/,(352)334-2609,"100 Southeast 10th Avenue, Gainesville, FL 32601"
Jacksonville Transportation Authority,JTA,Jacksonville,FL,Mr. Michael Blaylock (Executive Director),MBlaylock@jtafla.com,http://www.jtafla.com/,(904)630-3181,"100 North Myrtle Avenue, Jacksonville, FL 32204"
Lakeland Area Mass Transit District,Citrus Connection,Lakeland,FL,Mr. Daniel Ours (Executive Director),dours@ridecitrus.com,http://www.ridecitrus.com/,(863)688-7433 Ext:121,"1212 George Jenkins Boulevard, Lakeland, FL 33802"
Miami-Dade Transit,MDT,Miami,FL,Mr. Harpal Kapoor (Director),hkapoor@miamidade.gov,http://www.miamidade.gov/transit,(786)469-5675,"701 NW 1st Court 17th Floor, Miami, FL 33136"
"Miami Lakes - VPSI, Inc.",,Miami Lakes,FL,Mr Jeffery Henning (President),jeff.henning@vpsiinc.com,http://www.vpsiinc.com/,(248)597-3500,"14361 Commerce Way Suite 303, Miami Lakes, FL 33016"
Collier Area Transit,CAT,Naples,FL,"Mr. Norman Feder (Administrator, Transportation Division)",NormanFeder@colliergov.net,http://www.colliergov.net/,(239)774-8192,"8300 RADIO RD, Naples, FL 34104"
"City of Ocala, Florida",SunTran,Ocala,FL,Mr. Greg Slay (Director),gslay@ocalafl.org,http://www.suntran.org/,(352)629-8297,"121 Southeast Watula Avenue P.O. Box 1270, Ocala, FL 34478"
Central Florida Regional Transportation Authority,LYNX,Orlando,FL,Ms. Linda Watson (Executive Director),lwatson@golynx.com,http://www.golynx.com/,(407)841-2279 Ext:6017,"455 North Garland Avenue, Orlando, FL 32801"
Bay County Council On Aging Bay Coordinated Transportation,BCCOA,Panama City,FL,Ms. Elizabeth Coulliette (Executive Director),coull1074@aol.com,http://www.baycouncilonaging.org/,(850)769-3468,"1116 Frankford Avenue, Panama City, FL 32401"
Escambia County Area Transit,ECAT,Pensacola,FL,Mr. William Gordon (Interim General Manager),kenneth.gordon@veoliatransportation.com,http://www.goecat.com/,(850)595-3228 Ext:214,"1515 West Fairfield Drive, Pensacola, FL 32501"
Broward County Transportation Department,BCT,Pompano Beach,FL,Mr. Christopher Walton (Director),cwalton@broward.org,http://www.broward.org/bct,(954)357-8361,"3201 West Copans Road, Pompano Beach, FL 33069"
South Florida Regional Transportation Authority,TRI-Rail,Pompano Beach,FL,Mr. Joseph Giulietti (Executive Director),giuliettij@sfrta.fl.gov,http://tri-rail.com/,(954)942-7245,"800 Northwest 33rd Street Suite 100, Pompano Beach, FL 33064"
Pasco County Public Transportation,PCPT,Port Richey,FL,Mr. Daniel Johnson (Assistant County Administrator),djohnson@pascocountyfl.net,http://www.ridepcpt.com/,(727)847-8008,"8620 Galen Wilson Boulevard, Port Richey, FL 34668"
Charlotte County Transit Division,,Punta Gorda,FL,Mr. Fred McKenna (Transit Supervisor),fred.mckenna@charlottefl.com,http://www.charlottefl.com/,941-833-6236 Ext:6236,"25490 Airport Road, Punta Gorda, FL 33950"
Sarasota County Area Transit,SCAT,Sarasota,FL,Mr. Anthony Beckford (General Manager Transit),abeckfor@scgov.net,http://www.scgov.net/scat,(941)861-1003,"5303 Pinkney Avenue, Sarasota, FL 34233"
"County of Volusia, dba: VOTRAN",Votran,South Daytona,FL,Mr Ken Fischer (General Manager),kfischer@co.volusia.fl.us,http://www.votran.org/,(386)756-7496 Ext:4126,"950 Big Tree Road, South Daytona, FL 32119"
"St Johns County, Florida, Board of County Commissioners",St Johns County,St. Augustine,FL,Mr. Michael Wanchick (County Administrator),mwanchick@sjcfl.us,http://www.co.st-johns.fl.us/,(904)209-0530,"500 San Sebastian View, St. Augustine, FL 32084"
Pinellas Suncoast Transit Authority,PSTA,St. Petersburg,FL,Ms. Lori Clark (Controller),lclark@psta.net,http://www.psta.net/,(727)540-1817,"3201 Scherer Drive, St. Petersburg, FL 33716"
"Council on Aging of Martin County, Inc.",COAMC \ CC - MCBOCC,Stuart,FL,Ms. Barbara Kauffman (President/CEO),bkauffman@coamc.org,http://www.coamc.org/,(772)223-7800 Ext:801,"1071 East 10th Street, Stuart, FL 34996"
City of Tallahassee,StarMetro,Tallahassee,FL,Mr. Ronald Garrison (Executive Director),ron.garrison@talgov.com,http://www.talgov.com/,(850)891-5200,"555 Appleyard Drive, Tallahassee, FL 32304"
Hillsborough Area Regional Transit Authority,HART,Tampa,FL,Mr. David Armijo (Chief Executive Officer),ARMIJOD@GOHART.ORG,http://www.gohart.org/,(813)623-5835 Ext:1701,"4305 East 21st Avenue, Tampa, FL 33605"
Lake County Board of County Commissioners,LCBOCC,Tavares,FL,Ms. Cindy Hall (County Manager),chall@lakecountyfl.gov,http://www.lakecountyfl.gov/,352-343-9888,"Tavares, FL 32778"
"Senior Resource Association, Inc.",SRA,Vero Beach,FL,Ms. Karen Deigl (President/CEO),kdeigl@sramail.org,http://www.seniorresourceassociation.org/,(772)569-0760 Ext:104,"694 14th Street, Vero Beach, FL 32960"
"Board of County Commissioners, Palm Beach County, PalmTran, Inc.",PalmTran,West Palm Beach,FL,Mr. Charles Cohen (Executive Director),ccohen@pbcgov.com,http://www.palmtran.org/,(561)841-4200,"3201 Electronics Way, West Palm Beach, FL 33407"
Albany Transit System,ATS,Albany,GA,Mr. Alfred Lott (City Manager),alott@albany.ga.us,http://www.albany.ga.us/ats/ats,(229)431-3234,"712 Flint Avenue, Albany, GA 31701"
Athens Transit System,ATS,Athens,GA,Mr. Butch McDuffie (Director of Public Transit),butchmcduffie@co.clarke.ga.us,http://www.athenstransit.com/,(706)613-3432,"775 E. Broad St., Athens, GA 30601"
Georgia Regional Transportation Authority,GRTA,Atlanta,GA,Mr. Dick Anderson (Executive Director),danderson@grta.org,http://www.grta.org/,404-463-3012,"245 Peachtree Center Ave. NE Suite 800, Atlanta, GA 30303"
Metropolitan Atlanta Rapid Transit Authority,MARTA,Atlanta,GA,Dr. Beverly Scott (General Manager/CEO),bscott@itsmarta.com,http://www.itsmarta.com/,(404)848-5313,"2424 Piedmont Road, N.E., Atlanta, GA 30324"
Augusta Richmond County Transit Department,APT,Augusta,GA,Mr. Heyward Johnson (Transit Director),hjohnson@augustaga.gov,http://www.augustaga.gov/,(706)821-1721,"1535 Fenwick Street, Augusta, GA 30904"
City of Canton Transit,,Canton,GA,Hon. Gene Hobgood (Mayor),geneh@canton-georgia.com,http://www.canton-georgia.com/,(770)704-1506,"151 Elizabeth Street, Canton, GA 30114"
Metra Transit System,Metra,Columbus,GA,Mrs. Saundra Hunter (Director of Transportation/METRA),shunter@columbusga.org,http://www.metratransit.com/,(706)225-4582,"814 Linwood Boulevard, Columbus, GA 31902"
Douglas County Rideshare,Rideshare,Douglasville,GA,Mr. Tom Worthan (Chairperson-County Commission),tworthan@co.douglas.ga.us,http://www.douglascountyrideshare.com/,(770)920-7269,"Douglas County Transportation Cntr. 8800 Dorris Road, Douglasville, GA 30134"
Clayton County Board of Commissioners,CTRAN,Jonesboro,GA,"Mr. Eldrin Bell (Chairman, Clayton County Board of Commissioners)",eldrin.bell@co.clayton.ga.us,http://www.co.clayton.ga.us/,(770)477-3208,"112 Smith Street, Jonesboro, GA 30236"
Gwinnett County Board of Commissioners,GCT,Lawrenceville,GA,Mr. Leslie Allen (Director),brian.allen@gwinnettcounty.com,http://www.gwinnettcounty.com/,(770)822-7417,"75 Langley Drive, Lawrenceville, GA 30045"
Macon-Bibb County Transit Authority,MTA,Macon,GA,Mr. Richard Jones (General Manager/CEO),rjones@mta-mac.com,http://www.mta-mac.com/,(478)803-2500 Ext:2523,"200 Cherry Street, Macon, GA 31201"
Cobb County Department of Transportation Authority,CCT,Marietta,GA,Ms. Rebecca Gutowsky (Transit Division Manager),rebecca.gutowsky@cobbcounty.org,http://www.cobbcounty.org/,(770)528-1614,"463 Commerce Park Drive Suite 112, Marietta, GA 30060"
"Marietta - VPSI, Inc.",,Marietta,GA,Mr. Jeffrey Henning (President),jeff.henning@vpsiinc.com,http://www.vpsiinc.com/,(248)597-3500,"1343 Canton Rd, Marietta, GA 30066"
City of Rome Transit Department,RTD,Rome,GA,Mr. John Bennett (City Manager),jbennett@romega.us,http://www.romega.us/,706-236-4400,"168 North Avenue, Rome, GA 30161"
Chatham Area Transit Authority,CAT,Savannah,GA,Mr. Charles Odimgbe (Executive Director),COdimgbe@catchacat.org,http://www.catchacat.org/,(912)236-2111 Ext:3910,"900 East Gwinnett Street, Savannah, GA 31401"
Transit Authority of Northern Kentucky,TANK,Fort Wright,KY,Ms. Mary Lou Franzoni (General Manager),mfranzoni@tankbus.org,http://www.tankbus.org/,(859)814-2124,"3375 Madison Pike, Fort Wright, KY 41017"
Lexington Transit Authority,LexTran,Lexington,KY,Mr Rocky Burke (General Manager),rburke@lextran.com,http://www.lextranonthemove.org/,(859)255-7756 Ext:202,"109 West Loudon Avenue, Lexington, KY 40508"
Transit Authority of River City,TARC,Louisville,KY,Mr. J. Barker (Executive Director),jbarrybarker@ridetarc.org,http://www.ridetarc.org/,(502)561-5100,"1000 West Broadway, Louisville, KY 40203"
Coast Transit Authority,CTA,Gulfport,MS,Mr. Kevin Coggin (Executive Director),kcoggin@coasttransit.com,http://www.coasttransit.com/,(228)896-8080 Ext:212,"333 DeBuys Road, Gulfport, MS 39507"
City of Jackson Transit System,JATRAN,Jackson,MS,Mr. Sam Tensley (General Manager),jatrangm@bellsouth.net,http://www.city.jackson.ms.us/,(601)948-7140 Ext:5400,"200 South President Street, Jackson, MS 39205"
Asheville Transit System,ATS,Asheville,NC,Mrs. Mariate Echeverry (Transportation Planning Manager),mecheverry@ashevillenc.gov,http://www.ashevilletransit.com/,(828)232-4528,"360 West Haywood Street, Asheville, NC 28801"
